省,城市,运营商,DNS服务器,接入方式,操作系统,浏览器,目标IP,目标城市,目标运营商,Label
内蒙古自治区,呼和浩特市,中国电信,222.74.1.200,LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,106.39.178.1,北京市,中国电信,0
黑龙江省,哈尔滨市,中国电信,"112.100.100.100,118.118.118.51",LastMile,Windows 7,Chrome 31.1650.1761.0,59.45.173.1,阜新市,中国电信,0
贵州省,贵阳市,中国电信,"202.98.192.67,114.114.114.114",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,182.131.4.1,成都市,中国电信,0
新疆维吾尔自治区,乌鲁木齐市,中国电信,61.128.114.133,LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,182.131.4.1,成都市,中国电信,0
新疆维吾尔自治区,乌鲁木齐市,中国电信,"61.128.114.167,61.128.114.134",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,182.131.4.1,成都市,中国电信,0
贵州省,贵阳市,中国移动,"211.139.5.29,211.139.5.30",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,183.230.67.1,重庆市,中国移动,0
重庆,重庆市,中国联通,"221.7.92.98,221.5.203.98",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,113.207.82.1,重庆市,中国联通,0
重庆,重庆市,中国电信,61.128.128.68,LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,182.131.4.1,成都市,中国电信,0
重庆,重庆市,中国联通,"221.7.92.98,221.5.203.98",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,113.207.82.1,重庆市,中国联通,0
四川省,成都市,中国电信,"61.139.2.69,218.6.200.139",LastMile,Windows 7 sp1,Chrome 31.1650.1761.0,182.131.4.1,成都市,中国电信,0
江苏省,南京市,中国电信,"218.2.135.1,218.2.2.2",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,180.96.12.1,南京市,中国电信,0
江苏省,南京市,中国电信,"218.2.2.2,218.4.4.4",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,180.96.12.1,南京市,中国电信,0
江苏省,南京市,中国联通,221.6.4.66,LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,122.192.30.1,宿迁市,中国联通,0
